;;;0
1;41;1;0.23465541165587633
2;41;1;0.0
3;41;1;0.0
4;41;1;0.0
5;41;1;0.0
6;41;1;0.0
7;41;1;0.8127775208140613
8;41;1;0.5516976179463465
9;41;1;0.0
10;41;1;0.0
11;41;1;0.0
12;41;1;0.0
13;41;1;0.0
14;41;1;0.0
15;41;1;0.0
16;41;1;0.0
17;41;1;0.0
18;41;1;0.0
19;41;1;0.30610326086956474
20;41;1;0.5552472826086601
21;41;1;0.0
22;41;1;0.0
23;41;1;0.0
24;41;1;0.0
25;41;1;0.0
26;41;1;0.0
27;41;1;0.0
28;41;1;0.0
29;41;1;0.5650786308973235
30;41;1;0.0
31;41;1;0.2829093432007399
32;41;1;0.0
33;41;1;0.0
34;41;1;0.0
35;41;1;0.7807632400555036
36;41;1;0.0
37;41;1;0.0
38;41;1;0.22757863089731944
39;41;1;0.8504050069380187
40;41;1;0.0
41;41;1;0.3182932469935248
42;41;1;0.0
43;41;1;0.0
44;41;1;0.0
45;41;1;0.22757863089731856
46;41;1;0.31832822617946177
47;41;1;0.0
48;41;1;0.0
49;41;1;0.4036771507863093
50;41;1;0.289986123959303
51;41;1;0.6898936170212826
52;41;1;0.0
53;41;1;0.0
54;41;1;0.3665471785383895
55;41;1;0.0
56;41;1;0.0
57;41;1;0.22757863089731944
58;41;1;0.0
59;41;1;0.0
1;42;1;0.227578630897327
2;42;1;0.0
3;42;1;0.0
4;42;1;0.0
5;42;1;0.0
6;42;1;0.0
7;42;1;0.8127775208140613
8;42;1;0.5516976179463461
9;42;1;0.0
10;42;1;0.0
11;42;1;0.0
12;42;1;0.0
13;42;1;0.0
14;42;1;0.0
15;42;1;0.0
16;42;1;0.0
17;42;1;0.0
18;42;1;0.0
19;42;1;0.2988389801110084
20;42;1;0.5622340425531618
21;42;1;0.0
22;42;1;0.0
23;42;1;0.0
24;42;1;0.0
25;42;1;0.0
26;42;1;0.0
27;42;1;0.0
28;42;1;0.0
29;42;1;0.7525786308973235
30;42;1;0.0
31;42;1;0.27574005550416253
32;42;1;0.0
33;42;1;0.0
34;42;1;0.0
35;42;1;0.7737789662349674
36;42;1;0.0
37;42;1;0.0
38;42;1;0.22757863089731944
39;42;1;0.8751850138760409
40;42;1;0.0
41;42;1;0.31851075393154443
42;42;1;0.0
43;42;1;0.0
44;42;1;0.0
45;42;1;0.22757863089731567
46;42;1;0.3183282261794633
47;42;1;0.0
48;42;1;0.0
49;42;1;0.2760800763182236
50;42;1;0.289986123959303
51;42;1;0.6898936170212826
52;42;1;0.0
53;42;1;0.0
54;42;1;0.373531452358927
55;42;1;0.0
56;42;1;0.0
57;42;1;0.22757863089731944
58;42;1;0.0
59;42;1;0.0
1;43;1;0.22757863089732588
2;43;1;0.0
3;43;1;0.0
4;43;1;0.0
5;43;1;0.0
6;43;1;0.0
7;43;1;0.8127775208140613
8;43;1;0.5516976179463461
9;43;1;0.0
10;43;1;0.0
11;43;1;0.0
12;43;1;0.0
13;43;1;0.0
14;43;1;0.0
15;43;1;0.0
16;43;1;0.0
17;43;1;0.0
18;43;1;0.0
19;43;1;0.2559482539315452
20;43;1;0.5555272895467067
21;43;1;0.0
22;43;1;0.0
23;43;1;0.0
24;43;1;0.0
25;43;1;0.0
26;43;1;0.0
27;43;1;0.0
28;43;1;0.0
29;43;1;0.7525786308973235
30;43;1;0.0
31;43;1;0.27574005550416253
32;43;1;0.0
33;43;1;0.0
34;43;1;0.0
35;43;1;0.76645467160037
36;43;1;0.0
37;43;1;0.0
38;43;1;0.22757863089731944
39;43;1;0.8504050069380187
40;43;1;0.0
41;43;1;0.3182932469935248
42;43;1;0.0
43;43;1;0.0
44;43;1;0.0
45;43;1;0.22757863089731856
46;43;1;0.31832822617946177
47;43;1;0.0
48;43;1;0.0
49;43;1;0.3182007400555044
50;43;1;0.289986123959303
51;43;1;0.6898936170212826
52;43;1;0.0
53;43;1;0.0
54;43;1;0.36654717853839036
55;43;1;0.0
56;43;1;0.0
57;43;1;0.22757863089731634
58;43;1;0.0
59;43;1;0.0
1;44;1;0.227578630897327
2;44;1;0.0
3;44;1;0.0
4;44;1;0.0
5;44;1;0.0
6;44;1;0.0
7;44;1;0.8127775208140613
8;44;1;0.5516976179463465
9;44;1;0.0
10;44;1;0.0
11;44;1;0.0
12;44;1;0.0
