;;;;0
1;1;1;1;1.1736775125958854e-10
1;1;1;2;1.2868077821635838e-13
1;1;2;1;1.1736775125958854e-10
1;1;2;2;1.2868077821635838e-13
1;1;3;1;1.1736775125958854e-10
1;1;3;2;1.2868077821635838e-13
1;1;4;1;8.22677447403279e-10
1;1;4;2;1.2868077821635838e-13
1;1;5;1;1.1736775125958854e-10
1;1;5;2;1.2868077821635838e-13
1;1;6;1;1.1736775125958854e-10
1;1;6;2;1.2868077821635838e-13
1;1;7;1;1.1736775125958854e-10
1;1;7;2;1.2868077821635838e-13
1;1;8;1;1.1736775125958854e-10
1;1;8;2;1.2868077821635838e-13
1;2;1;1;1.173677999751665e-10
1;2;1;2;1.2868077821635838e-13
1;2;2;1;1.173677999751665e-10
1;2;2;2;1.2868077821635838e-13
1;2;3;1;1.173677999751665e-10
1;2;3;2;1.2868077821635838e-13
1;2;4;1;8.226665812802904e-10
1;2;4;2;1.2868077821635838e-13
1;2;5;1;1.173677999751665e-10
1;2;5;2;1.2868077821635838e-13
1;2;6;1;1.173677999751665e-10
1;2;6;2;1.2868077821635838e-13
1;2;7;1;1.173677999751665e-10
1;2;7;2;1.2868077821635838e-13
1;2;8;1;1.173677999751665e-10
1;2;8;2;1.2868077821635838e-13
1;3;1;1;1.2868077821635838e-13
1;3;1;2;1.2868077821635838e-13
1;3;2;1;1.2868077821635838e-13
1;3;2;2;1.2868077821635838e-13
1;3;3;1;1.2868077821635838e-13
1;3;3;2;1.2868077821635838e-13
1;3;4;1;1.2868077821635838e-13
1;3;4;2;1.2868077821635838e-13
1;3;5;1;1.2868077821635838e-13
1;3;5;2;1.2868077821635838e-13
1;3;6;1;1.2868077821635838e-13
1;3;6;2;1.2868077821635838e-13
1;3;7;1;1.2868077821635838e-13
1;3;7;2;1.2868077821635838e-13
1;3;8;1;1.2868077821635838e-13
1;3;8;2;1.2868077821635838e-13
1;4;1;1;1.2868077821635838e-13
1;4;1;2;1.2868077821635838e-13
1;4;2;1;1.2868077821635838e-13
1;4;2;2;1.2868077821635838e-13
1;4;3;1;1.2868077821635838e-13
1;4;3;2;1.2868077821635838e-13
1;4;4;1;1.2868077821635838e-13
1;4;4;2;1.2868077821635838e-13
1;4;5;1;1.2868077821635838e-13
1;4;5;2;1.2868077821635838e-13
1;4;6;1;1.2868077821635838e-13
1;4;6;2;1.2868077821635838e-13
1;4;7;1;1.2868077821635838e-13
1;4;7;2;1.2868077821635838e-13
1;4;8;1;1.2868077821635838e-13
1;4;8;2;1.2868077821635838e-13
1;5;1;1;1.2868077821635838e-13
1;5;1;2;1.2868077821635838e-13
1;5;2;1;1.2868077821635838e-13
1;5;2;2;1.2868077821635838e-13
1;5;3;1;1.2868077821635838e-13
1;5;3;2;1.2868077821635838e-13
1;5;4;1;1.2868077821635838e-13
1;5;4;2;1.2868077821635838e-13
1;5;5;1;1.2868077821635838e-13
1;5;5;2;1.2868077821635838e-13
1;5;6;1;1.2868077821635838e-13
1;5;6;2;1.2868077821635838e-13
1;5;7;1;1.2868077821635838e-13
1;5;7;2;1.2868077821635838e-13
1;5;8;1;1.2868077821635838e-13
1;5;8;2;1.2868077821635838e-13
1;6;1;1;1.2868077821635838e-13
1;6;1;2;1.2868077821635838e-13
1;6;2;1;1.2868077821635838e-13
1;6;2;2;1.2868077821635838e-13
1;6;3;1;1.2868077821635838e-13
1;6;3;2;1.2868077821635838e-13
1;6;4;1;1.2868077821635838e-13
1;6;4;2;1.2868077821635838e-13
1;6;5;1;1.2868077821635838e-13
1;6;5;2;1.2868077821635838e-13
1;6;6;1;1.2868077821635838e-13
1;6;6;2;1.2868077821635838e-13
1;6;7;1;1.2868077821635838e-13
1;6;7;2;1.2868077821635838e-13
1;6;8;1;1.2868077821635838e-13
1;6;8;2;1.2868077821635838e-13
1;7;1;1;1.2868077821635838e-13
1;7;1;2;1.2868077821635838e-13
1;7;2;1;1.2868077821635838e-13
1;7;2;2;1.2868077821635838e-13
1;7;3;1;1.2868077821635838e-13
1;7;3;2;1.2868077821635838e-13
1;7;4;1;1.2868077821635838e-13
1;7;4;2;1.2868077821635838e-13
1;7;5;1;1.2868077821635838e-13
1;7;5;2;1.2868077821635838e-13
1;7;6;1;1.2868077821635838e-13
1;7;6;2;1.2868077821635838e-13
1;7;7;1;1.2868077821635838e-13
1;7;7;2;1.2868077821635838e-13
1;7;8;1;1.2868077821635838e-13
1;7;8;2;1.2868077821635838e-13
1;8;1;1;1.2868077821635838e-13
1;8;1;2;1.2868077821635838e-13
1;8;2;1;1.2868077821635838e-13
