;;;;0
1;37;1;1;0.0
1;37;1;2;0.0
1;37;2;1;0.0
1;37;2;2;0.0
1;37;3;1;0.0
1;37;3;2;0.0
1;37;4;1;0.0
1;37;4;2;0.0
1;37;5;1;0.0
1;37;5;2;0.0
1;37;6;1;0.0
1;37;6;2;0.0
1;37;7;1;0.0
1;37;7;2;0.0
1;37;8;1;0.0
1;37;8;2;0.0
1;37;9;1;0.0
1;37;9;2;0.0
1;37;10;1;0.0
1;37;10;2;0.0
1;37;11;1;0.0
1;37;11;2;0.0
1;37;12;1;0.0
1;37;12;2;0.0
1;37;13;1;0.0
1;37;13;2;0.0
1;37;14;1;0.0
1;37;14;2;0.0
1;37;15;1;0.0
1;37;15;2;0.0
1;37;16;1;0.0
1;37;16;2;0.0
1;37;17;1;0.0
1;37;17;2;0.0
1;37;18;1;0.0
1;37;18;2;0.0
1;37;19;1;0.0
1;37;19;2;0.0
1;37;20;1;0.0
1;37;20;2;0.0
1;37;21;1;0.0
1;37;21;2;0.0
1;37;22;1;0.0
1;37;22;2;0.0
1;37;23;1;0.0
1;37;23;2;0.0
1;37;24;1;0.0
1;37;24;2;0.0
1;37;25;1;0.0
1;37;25;2;0.0
1;37;26;1;0.0
1;37;26;2;0.0
1;37;27;1;0.0
1;37;27;2;0.0
1;37;28;1;0.0
1;37;28;2;0.0
1;37;29;1;0.0
1;37;29;2;0.0
1;37;30;1;0.0
1;37;30;2;0.0
1;37;31;1;0.0
1;37;31;2;0.0
1;37;32;1;0.0
1;37;32;2;0.0
1;37;33;1;0.0
1;37;33;2;0.0
1;37;34;1;0.0
1;37;34;2;0.0
1;37;35;1;0.0
1;37;35;2;0.0
1;37;36;1;0.0
1;37;36;2;0.0
1;37;37;1;0.0
1;37;37;2;0.0
1;37;38;1;0.0
1;37;38;2;0.0
1;37;39;1;0.0
1;37;39;2;0.0
1;37;40;1;0.0
1;37;40;2;0.0
1;37;41;1;0.0
1;37;41;2;-0.0
1;37;42;1;0.0
1;37;42;2;0.0
1;37;43;1;0.0
1;37;43;2;0.0
1;37;44;1;0.0
1;37;44;2;0.0
1;37;45;1;0.0
1;37;45;2;0.0
1;37;46;1;0.0
1;37;46;2;0.0
1;37;47;1;0.0
1;37;47;2;0.0
1;37;48;1;0.0
1;37;48;2;0.0
1;37;49;1;0.0
1;37;49;2;0.0
1;37;50;1;0.0
1;37;50;2;0.0
1;37;51;1;0.0
1;37;51;2;0.0
1;37;52;1;0.0
1;37;52;2;0.0
1;37;53;1;0.0
1;37;53;2;0.0
1;37;54;1;0.0
1;37;54;2;0.0
1;37;55;1;0.0
1;37;55;2;0.0
1;37;56;1;0.0
1;37;56;2;0.0
1;37;57;1;0.0
1;37;57;2;0.0
1;37;58;1;0.0
1;37;58;2;0.0
1;37;59;1;0.0
1;37;59;2;0.0
1;37;60;1;0.0
1;37;60;2;0.0
1;37;61;1;0.0
1;37;61;2;0.0
1;37;62;1;0.0
1;37;62;2;0.0
1;37;63;1;0.0
1;37;63;2;0.0
1;37;64;1;0.0
1;37;64;2;0.0
1;37;65;1;0.0
1;37;65;2;-0.0
1;37;66;1;0.0
1;37;66;2;0.0
1;37;67;1;0.0
1;37;67;2;0.0
1;37;68;1;0.0
1;37;68;2;0.0
1;37;69;1;0.0
1;37;69;2;0.0
1;37;70;1;0.0
1;37;70;2;0.0
1;37;71;1;0.0
1;37;71;2;0.0
1;37;72;1;0.0
1;37;72;2;0.0
1;37;73;1;0.0
1;37;73;2;-0.0
1;37;74;1;0.0
1;37;74;2;0.0
1;37;75;1;0.0
1;37;75;2;0.0
1;37;76;1;0.0
1;37;76;2;0.0
1;37;77;1;0.0
1;37;77;2;0.0
1;37;78;1;0.0
1;37;78;2;0.0
1;37;79;1;0.0
1;37;79;2;0.0
1;37;80;1;0.0
1;37;80;2;0.0
1;37;81;1;0.0
1;37;81;2;0.0
1;37;82;1;0.0
1;37;82;2;0.0
1;37;83;1;0.0
1;37;83;2;0.0
1;37;84;1;0.0
1;37;84;2;0.0
1;37;85;1;0.0
1;37;85;2;0.0
1;37;86;1;0.0
1;37;86;2;0.0
1;37;87;1;0.0
1;37;87;2;0.0
1;37;88;1;0.0
1;37;88;2;0.0
1;37;89;1;0.0
1;37;89;2;0.0
1;37;90;1;0.0
